ID,INCIDENT_DATETIME,INITIAL_SEVERITY_LEVEL_CODE,FINAL_SEVERITY_LEVEL_CODE,FIRST_ASSIGNMENT_DATETIME,INCIDENT_RESPONSE_SECONDS_QY,BOROUGH
357066,4/21/2020 23:57,7,7,2020-04-21T23:58:14.000,576,BRONX
357071,4/21/2020 23:54,4,4,2020-04-21T23:54:47.000,536,BRONX
357072,4/21/2020 23:53,4,4,2020-04-21T23:54:06.000,311,BRONX
357077,4/21/2020 23:51,6,6,2020-04-21T23:51:29.000,663,BRONX
357082,4/21/2020 23:49,5,7,2020-04-21T23:50:24.000,398,BRONX
357088,4/21/2020 23:46,7,7,2020-04-21T23:46:31.000,779,BRONX
357100,4/21/2020 23:38,5,3,2020-04-21T23:39:11.000,307,BRONX
357103,4/21/2020 23:36,4,4,2020-04-21T23:36:56.000,210,BRONX
357107,4/21/2020 23:34,7,7,2020-04-21T23:35:16.000,215,BRONX
357112,4/21/2020 23:33,6,6,2020-04-21T23:33:46.000,388,BRONX
357114,4/21/2020 23:30,5,5,2020-04-21T23:30:43.000,237,BRONX
357118,4/21/2020 23:29,5,5,2020-04-21T23:29:55.000,496,BRONX
357123,4/21/2020 23:27,4,4,2020-04-21T23:27:13.000,439,BRONX
357128,4/21/2020 23:23,6,6,2020-04-21T23:23:54.000,547,BRONX
357138,4/21/2020 23:21,7,7,2020-04-21T23:21:36.000,594,BRONX
357147,4/21/2020 23:17,7,7,2020-04-21T23:18:07.000,158,BRONX
357150,4/21/2020 23:16,4,4,2020-04-21T23:16:26.000,5,BRONX
357153,4/21/2020 23:14,4,4,2020-04-21T23:14:48.000,406,BRONX
357156,4/21/2020 23:13,4,4,2020-04-21T23:13:31.000,230,BRONX
357161,4/21/2020 23:11,5,5,2020-04-21T23:11:49.000,494,BRONX
357167,4/21/2020 23:10,6,6,2020-04-21T23:10:59.000,728,BRONX
357186,4/21/2020 23:01,7,7,2020-04-21T23:02:56.000,848,BRONX
357198,4/21/2020 22:55,4,2,2020-04-21T22:56:48.000,313,BRONX
357228,4/21/2020 22:44,6,6,2020-04-21T22:44:41.000,279,BRONX
357229,4/21/2020 22:44,5,5,2020-04-21T22:44:49.000,807,BRONX
357249,4/21/2020 22:35,4,4,2020-04-21T22:35:27.000,483,BRONX
357250,4/21/2020 22:35,4,6,2020-04-21T22:35:18.000,207,BRONX
357255,4/21/2020 22:33,7,7,2020-04-21T22:33:29.000,287,BRONX
357275,4/21/2020 22:23,4,4,2020-04-21T22:23:24.000,346,BRONX
357284,4/21/2020 22:21,5,5,2020-04-21T22:21:56.000,351,BRONX
357289,4/21/2020 22:18,4,4,2020-04-21T22:19:00.000,370,BRONX
357297,4/21/2020 22:15,6,6,2020-04-21T22:15:13.000,698,BRONX
357305,4/21/2020 22:08,4,4,2020-04-21T22:09:13.000,316,BRONX
357310,4/21/2020 22:06,5,5,2020-04-21T22:06:47.000,294,BRONX
357321,4/21/2020 22:01,5,5,2020-04-21T22:02:18.000,293,BRONX
357325,4/21/2020 22:00,7,7,2020-04-21T22:00:16.000,611,BRONX
357327,4/21/2020 21:59,4,4,2020-04-21T21:59:29.000,0,BRONX
357364,4/21/2020 21:41,5,5,2020-04-21T21:43:15.000,428,BRONX
357374,4/21/2020 21:37,4,4,2020-04-21T21:37:48.000,298,BRONX
357380,4/21/2020 21:36,6,6,2020-04-21T21:37:20.000,557,BRONX
357382,4/21/2020 21:35,5,5,2020-04-21T21:36:12.000,333,BRONX
357384,4/21/2020 21:34,5,5,2020-04-21T21:34:51.000,267,BRONX
357386,4/21/2020 21:33,6,6,2020-04-21T21:33:30.000,883,BRONX
357387,4/21/2020 21:32,4,4,2020-04-21T21:33:08.000,232,BRONX
357400,4/21/2020 21:28,4,4,2020-04-21T21:28:59.000,456,BRONX
357424,4/21/2020 21:20,6,6,2020-04-21T21:23:47.000,472,BRONX
357441,4/21/2020 21:15,4,4,2020-04-21T21:15:49.000,270,BRONX
357451,4/21/2020 21:12,4,4,2020-04-21T21:12:41.000,245,BRONX
357455,4/21/2020 21:11,5,5,2020-04-21T21:12:53.000,508,BRONX
357464,4/21/2020 21:08,6,6,2020-04-21T21:08:43.000,324,BRONX
357472,4/21/2020 21:04,4,4,2020-04-21T21:05:17.000,196,BRONX
357474,4/21/2020 21:03,4,6,2020-04-21T21:03:10.000,492,BRONX
357480,4/21/2020 21:00,4,4,2020-04-21T21:02:55.000,318,BRONX
357484,4/21/2020 20:59,4,6,2020-04-21T20:59:20.000,290,BRONX
357489,4/21/2020 20:56,4,4,2020-04-21T20:57:03.000,302,BRONX
357490,4/21/2020 20:56,4,4,2020-04-21T20:57:23.000,1218,BRONX
357491,4/21/2020 20:56,6,6,2020-04-21T20:57:28.000,385,BRONX
357498,4/21/2020 20:53,5,5,2020-04-21T20:54:12.000,383,BRONX
357505,4/21/2020 20:51,7,7,2020-04-21T20:51:36.000,102,BRONX
357506,4/21/2020 20:51,5,5,2020-04-21T20:51:17.000,229,BRONX
357510,4/21/2020 20:50,6,6,2020-04-21T20:51:04.000,337,BRONX
357513,4/21/2020 20:50,6,6,2020-04-21T20:50:12.000,522,BRONX
357520,4/21/2020 20:45,4,4,2020-04-21T20:46:03.000,325,BRONX
357521,4/21/2020 20:45,7,7,2020-04-21T20:45:58.000,164,BRONX
357524,4/21/2020 20:43,5,5,2020-04-21T20:44:06.000,363,BRONX
357537,4/21/2020 20:40,4,4,2020-04-21T20:40:30.000,250,BRONX
357544,4/21/2020 20:35,4,6,2020-04-21T20:36:21.000,150,BRONX
357545,4/21/2020 20:35,7,7,2020-04-21T20:36:12.000,459,BRONX
357556,4/21/2020 20:30,4,4,2020-04-21T20:31:26.000,170,BRONX
357575,4/21/2020 20:25,6,6,2020-04-21T20:25:27.000,423,BRONX
357581,4/21/2020 20:22,5,5,2020-04-21T20:22:57.000,319,BRONX
357583,4/21/2020 20:20,6,6,2020-04-21T20:20:38.000,748,BRONX
357590,4/21/2020 20:18,4,2,2020-04-21T20:19:58.000,406,BRONX
357598,4/21/2020 20:15,5,5,2020-04-21T20:17:25.000,309,BRONX
