ID,INCIDENT_DATETIME,INITIAL_SEVERITY_LEVEL_CODE,FINAL_SEVERITY_LEVEL_CODE,FIRST_ASSIGNMENT_DATETIME,INCIDENT_RESPONSE_SECONDS_QY,BOROUGH
357063,4/21/2020 23:58,4,4,2020-04-21T23:58:44.000,396,BROOKLYN
357065,4/21/2020 23:58,6,6,2020-04-21T23:59:19.000,195,BROOKLYN
357067,4/21/2020 23:57,6,6,2020-04-21T23:58:09.000,256,BROOKLYN
357069,4/21/2020 23:55,4,7,2020-04-21T23:55:29.000,515,BROOKLYN
357084,4/21/2020 23:48,6,6,2020-04-21T23:49:25.000,523,BROOKLYN
357085,4/21/2020 23:47,7,7,2020-04-21T23:49:51.000,621,BROOKLYN
357086,4/21/2020 23:47,7,7,2020-04-21T23:49:31.000,809,BROOKLYN
357091,4/21/2020 23:45,7,7,2020-04-21T23:45:54.000,285,BROOKLYN
357116,4/21/2020 23:30,5,5,2020-04-21T23:30:52.000,358,BROOKLYN
357121,4/21/2020 23:28,4,4,2020-04-21T23:29:21.000,432,BROOKLYN
357122,4/21/2020 23:27,5,5,2020-04-21T23:29:56.000,948,BROOKLYN
357127,4/21/2020 23:23,5,5,2020-04-21T23:23:46.000,547,BROOKLYN
357136,4/21/2020 23:21,4,4,2020-04-21T23:21:29.000,301,BROOKLYN
357139,4/21/2020 23:20,4,3,2020-04-21T23:20:39.000,389,BROOKLYN
357140,4/21/2020 23:20,4,4,2020-04-21T23:20:23.000,491,BROOKLYN
357155,4/21/2020 23:13,7,7,2020-04-21T23:14:10.000,319,BROOKLYN
357160,4/21/2020 23:11,4,4,2020-04-21T23:11:50.000,393,BROOKLYN
357164,4/21/2020 23:11,6,6,2020-04-21T23:11:43.000,456,BROOKLYN
357165,4/21/2020 23:11,5,5,2020-04-21T23:11:34.000,378,BROOKLYN
357166,4/21/2020 23:10,4,2,2020-04-21T23:48:00.000,2574,BROOKLYN
357168,4/21/2020 23:10,7,7,2020-04-21T23:10:19.000,195,BROOKLYN
357176,4/21/2020 23:05,4,4,2020-04-21T23:07:26.000,419,BROOKLYN
357177,4/21/2020 23:05,4,4,2020-04-21T23:06:23.000,223,BROOKLYN
357181,4/21/2020 23:04,6,6,2020-04-21T23:04:30.000,553,BROOKLYN
357183,4/21/2020 23:02,6,6,2020-04-21T23:02:59.000,313,BROOKLYN
357191,4/21/2020 22:59,6,6,2020-04-21T23:00:51.000,495,BROOKLYN
357197,4/21/2020 22:56,7,7,2020-04-21T22:57:47.000,1219,BROOKLYN
357202,4/21/2020 22:51,4,4,2020-04-21T22:52:23.000,236,BROOKLYN
357203,4/21/2020 22:51,4,2,2020-04-21T22:52:54.000,733,BROOKLYN
357216,4/21/2020 22:47,4,4,2020-04-21T22:47:42.000,380,BROOKLYN
357217,4/21/2020 22:47,5,5,2020-04-21T22:47:34.000,256,BROOKLYN
357219,4/21/2020 22:46,5,5,2020-04-21T22:49:14.000,322,BROOKLYN
357220,4/21/2020 22:46,6,6,2020-04-21T22:47:26.000,352,BROOKLYN
357222,4/21/2020 22:45,7,7,2020-04-21T22:45:45.000,225,BROOKLYN
357224,4/21/2020 22:45,7,7,2020-04-21T22:46:13.000,170,BROOKLYN
357225,4/21/2020 22:45,7,7,2020-04-21T22:47:14.000,478,BROOKLYN
357235,4/21/2020 22:39,6,6,2020-04-21T22:40:56.000,323,BROOKLYN
357236,4/21/2020 22:39,7,7,2020-04-21T22:39:35.000,321,BROOKLYN
357243,4/21/2020 22:37,4,4,2020-04-21T22:38:56.000,678,BROOKLYN
357244,4/21/2020 22:37,4,4,2020-04-21T22:38:22.000,315,BROOKLYN
357252,4/21/2020 22:34,5,5,2020-04-21T22:34:59.000,620,BROOKLYN
357256,4/21/2020 22:32,5,5,2020-04-21T22:33:16.000,329,BROOKLYN
357259,4/21/2020 22:32,6,6,2020-04-21T22:32:35.000,137,BROOKLYN
