ID,INCIDENT_DATETIME,INITIAL_SEVERITY_LEVEL_CODE,FINAL_SEVERITY_LEVEL_CODE,FIRST_ASSIGNMENT_DATETIME,INCIDENT_RESPONSE_SECONDS_QY,BOROUGH
357061,4/21/2020 23:59,6,6,2020-04-22T00:00:10.000,352,MANHATTAN
357068,4/21/2020 23:55,5,5,2020-04-21T23:55:48.000,504,MANHATTAN
357079,4/21/2020 23:50,4,4,2020-04-21T23:51:12.000,230,MANHATTAN
357080,4/21/2020 23:50,6,6,2020-04-21T23:50:55.000,194,MANHATTAN
357106,4/21/2020 23:35,7,4,2020-04-21T23:37:25.000,647,MANHATTAN
357119,4/21/2020 23:29,7,7,2020-04-21T23:44:23.000,1575,MANHATTAN
357126,4/21/2020 23:24,7,7,2020-04-21T23:31:21.000,1168,MANHATTAN
357135,4/21/2020 23:21,4,4,2020-04-21T23:24:35.000,749,MANHATTAN
357145,4/21/2020 23:18,6,7,2020-04-21T23:19:18.000,227,MANHATTAN
357154,4/21/2020 23:14,4,4,2020-04-21T23:14:44.000,312,MANHATTAN
357162,4/21/2020 23:11,4,4,2020-04-21T23:12:07.000,579,MANHATTAN
357171,4/21/2020 23:09,5,5,2020-04-21T23:09:24.000,529,MANHATTAN
357172,4/21/2020 23:07,5,5,2020-04-21T23:08:20.000,291,MANHATTAN
357174,4/21/2020 23:06,4,4,2020-04-21T23:06:38.000,156,MANHATTAN
357180,4/21/2020 23:04,7,7,2020-04-21T23:05:33.000,657,MANHATTAN
357184,4/21/2020 23:02,6,7,2020-04-21T23:02:50.000,328,MANHATTAN
357196,4/21/2020 22:56,5,5,2020-04-21T22:57:10.000,558,MANHATTAN
357200,4/21/2020 22:54,6,6,2020-04-21T22:58:01.000,450,MANHATTAN
357201,4/21/2020 22:53,4,4,2020-04-21T22:53:36.000,244,MANHATTAN
357206,4/21/2020 22:51,7,7,2020-04-21T22:51:26.000,339,MANHATTAN
357209,4/21/2020 22:49,5,5,2020-04-21T22:49:49.000,307,MANHATTAN
357212,4/21/2020 22:48,4,4,2020-04-21T22:49:02.000,462,MANHATTAN
357214,4/21/2020 22:48,6,6,2020-04-21T22:48:29.000,828,MANHATTAN
357221,4/21/2020 22:45,7,4,2020-04-21T22:45:52.000,158,MANHATTAN
357234,4/21/2020 22:40,7,7,2020-04-21T22:40:28.000,370,MANHATTAN
357237,4/21/2020 22:39,7,7,2020-04-21T22:40:25.000,752,MANHATTAN
357245,4/21/2020 22:37,5,5,2020-04-21T22:37:42.000,387,MANHATTAN
357247,4/21/2020 22:36,7,7,2020-04-21T22:36:50.000,268,MANHATTAN
357248,4/21/2020 22:36,7,7,2020-04-21T22:36:35.000,514,MANHATTAN
357257,4/21/2020 22:32,5,5,2020-04-21T22:33:26.000,517,MANHATTAN
357260,4/21/2020 22:32,4,4,2020-04-21T22:32:16.000,259,MANHATTAN
357261,4/21/2020 22:31,5,5,2020-04-21T22:32:23.000,393,MANHATTAN
357270,4/21/2020 22:25,5,5,2020-04-21T22:25:34.000,300,MANHATTAN
357272,4/21/2020 22:24,4,4,2020-04-21T22:25:00.000,305,MANHATTAN
357276,4/21/2020 22:22,6,6,2020-04-21T22:23:37.000,336,MANHATTAN
357279,4/21/2020 22:22,4,4,2020-04-21T22:22:31.000,589,MANHATTAN
357281,4/21/2020 22:21,5,5,2020-04-21T22:21:45.000,558,MANHATTAN
357287,4/21/2020 22:20,7,7,2020-04-21T22:20:28.000,567,MANHATTAN
357296,4/21/2020 22:15,6,6,2020-04-21T22:15:31.000,377,MANHATTAN
357301,4/21/2020 22:10,4,4,2020-04-21T22:10:57.000,1009,MANHATTAN
357303,4/21/2020 22:09,6,6,2020-04-21T22:22:50.000,1445,MANHATTAN
357307,4/21/2020 22:08,6,2,2020-04-21T22:08:40.000,413,MANHATTAN
357312,4/21/2020 22:05,4,4,2020-04-21T22:06:00.000,137,MANHATTAN
357318,4/21/2020 22:03,4,4,2020-04-21T22:04:20.000,399,MANHATTAN
357326,4/21/2020 21:59,4,4,2020-04-21T21:59:42.000,531,MANHATTAN
357331,4/21/2020 21:56,6,6,2020-04-21T21:56:43.000,215,MANHATTAN
357350,4/21/2020 21:46,5,5,2020-04-21T21:47:13.000,320,MANHATTAN
357354,4/21/2020 21:46,4,4,2020-04-21T21:46:18.000,355,MANHATTAN
357356,4/21/2020 21:45,4,4,2020-04-21T21:45:52.000,805,MANHATTAN
357367,4/21/2020 21:40,4,4,2020-04-21T21:40:13.000,190,MANHATTAN
357373,4/21/2020 21:37,5,5,2020-04-21T21:37:56.000,192,MANHATTAN
357375,4/21/2020 21:36,5,5,2020-04-21T21:37:21.000,252,MANHATTAN
357376,4/21/2020 21:36,4,4,2020-04-21T21:36:46.000,355,MANHATTAN
357389,4/21/2020 21:32,4,4,2020-04-21T21:33:34.000,410,MANHATTAN
357396,4/21/2020 21:29,5,5,2020-04-21T21:30:11.000,690,MANHATTAN
357413,4/21/2020 21:23,4,4,2020-04-21T21:24:13.000,533,MANHATTAN
357419,4/21/2020 21:22,5,5,2020-04-21T21:22:18.000,124,MANHATTAN
357426,4/21/2020 21:19,4,4,2020-04-21T21:19:53.000,257,MANHATTAN
357434,4/21/2020 21:17,5,5,2020-04-21T21:18:04.000,218,MANHATTAN
357445,4/21/2020 21:14,7,7,2020-04-21T21:15:48.000,617,MANHATTAN
357450,4/21/2020 21:12,5,5,2020-04-21T21:14:25.000,600,MANHATTAN
357453,4/21/2020 21:12,4,4,2020-04-21T21:12:53.000,322,MANHATTAN
357456,4/21/2020 21:10,6,5,2020-04-21T21:11:13.000,368,MANHATTAN
357459,4/21/2020 21:09,5,5,2020-04-21T21:10:06.000,81,MANHATTAN
357478,4/21/2020 21:00,4,4,2020-04-21T21:01:09.000,11,MANHATTAN
