ID,INCIDENT_DATETIME,INITIAL_SEVERITY_LEVEL_CODE,FINAL_SEVERITY_LEVEL_CODE,FIRST_ASSIGNMENT_DATETIME,INCIDENT_RESPONSE_SECONDS_QY,BOROUGH
357076,4/21/2020 23:51,4,4,2020-04-21T23:51:33.000,435,QUEENS
357087,4/21/2020 23:47,6,6,2020-04-21T23:47:12.000,351,QUEENS
357090,4/21/2020 23:45,7,7,2020-04-21T23:46:15.000,282,QUEENS
357096,4/21/2020 23:42,6,6,2020-04-21T23:43:31.000,304,QUEENS
357101,4/21/2020 23:37,7,7,2020-04-21T23:37:54.000,386,QUEENS
357109,4/21/2020 23:33,5,5,2020-04-21T23:34:32.000,351,QUEENS
357113,4/21/2020 23:32,6,6,2020-04-21T23:33:33.000,260,QUEENS
357117,4/21/2020 23:30,5,5,2020-04-21T23:32:00.000,430,QUEENS
357124,4/21/2020 23:27,5,5,2020-04-21T23:27:05.000,175,QUEENS
357131,4/21/2020 23:22,7,7,2020-04-21T23:22:34.000,502,QUEENS
357137,4/21/2020 23:21,7,4,2020-04-21T23:21:29.000,375,QUEENS
357143,4/21/2020 23:19,6,6,2020-04-21T23:19:55.000,482,QUEENS
357152,4/21/2020 23:15,7,7,2020-04-21T23:15:23.000,100,QUEENS
357207,4/21/2020 22:50,5,5,2020-04-21T22:50:43.000,243,QUEENS
357210,4/21/2020 22:49,4,4,2020-04-21T22:49:22.000,224,QUEENS
357211,4/21/2020 22:48,4,4,2020-04-21T22:49:16.000,582,QUEENS
357213,4/21/2020 22:48,6,6,2020-04-21T22:49:12.000,462,QUEENS
357227,4/21/2020 22:44,4,2,2020-04-21T22:44:59.000,677,QUEENS
357230,4/21/2020 22:43,6,6,2020-04-21T22:43:53.000,514,QUEENS
357232,4/21/2020 22:42,7,7,2020-04-21T22:42:40.000,244,QUEENS
357238,4/21/2020 22:39,6,6,2020-04-21T22:40:06.000,415,QUEENS
357240,4/21/2020 22:38,6,6,2020-04-21T22:40:18.000,451,QUEENS
357241,4/21/2020 22:38,4,4,2020-04-21T22:39:10.000,455,QUEENS
357274,4/21/2020 22:23,5,5,2020-04-21T22:23:30.000,658,QUEENS
357280,4/21/2020 22:22,7,4,2020-04-21T22:22:37.000,647,QUEENS
357295,4/21/2020 22:15,6,6,2020-04-21T22:15:53.000,481,QUEENS
357304,4/21/2020 22:09,5,5,2020-04-21T22:09:37.000,348,QUEENS
357322,4/21/2020 22:01,4,4,2020-04-21T22:01:36.000,226,QUEENS
357323,4/21/2020 22:01,6,6,2020-04-21T22:01:28.000,464,QUEENS
357332,4/21/2020 21:56,5,5,2020-04-21T21:56:42.000,425,QUEENS
357342,4/21/2020 21:49,6,6,2020-04-21T21:52:06.000,441,QUEENS
357344,4/21/2020 21:49,5,4,2020-04-21T21:49:21.000,304,QUEENS
357346,4/21/2020 21:48,7,4,2020-04-21T21:48:52.000,383,QUEENS
357351,4/21/2020 21:46,5,5,2020-04-21T21:47:09.000,1070,QUEENS
357357,4/21/2020 21:45,4,4,2020-04-21T21:46:21.000,318,QUEENS
357358,4/21/2020 21:44,4,4,2020-04-21T21:44:27.000,518,QUEENS
